Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
NOISY-LE-ROI;87733659;DIM;2023-10-15;2023;T13;T13;Après 20h;16
MASSY-VERRIERES;87383281;DIM;2017-04-23;2017;C;C;De 6h à 10h;36
MORTCERF;87116244;DIM;2023-11-19;2023;P;P;De 10h à 16h;33
LUZARCHES;87276576;DIM;2023-11-19;2023;H;H;De 6h à 10h;44
NOISY-LE-SEC;87113217;SAM;2022-03-19;2022;E;E;Avant 6h;308
MASSY-VERRIERES;87383281;JOB;2017-04-25;2017;C;C;Après 20h;7
MORTCERF;87116244;JOB;2023-11-14;2023;P;P;De 16h à 20h;33
LUZARCHES;87276576;JOB;2023-11-14;2023;H;H;Avant 6h;30
NOISY-LE-SEC;87113217;DIM;2022-03-20;2022;E;E;Après 20h;1103
MAULE;87381723;DIM;2023-11-19;2023;N;N;Après 20h;14
MOULIN-GALANT;87681403;SAM;2024-02-03;2024;D;D;De 10h à 16h;229
LYCEE-HENRI-SELLIER;87988717;SAM;2021-11-09;2021;T4;T4;De 16h à 20h;249
NOISY-LE-SEC;87113217;DIM;2022-03-20;2022;E;E;De 6h à 10h;2271
MAURECOURT;87381483;SAM;2023-11-18;2023;J;J6;De 6h à 10h;126
MOULIN-GALANT;87681403;DIM;2024-03-03;2024;D;D;De 10h à 16h;149
LYCEE-HENRI-SELLIER;87988717;DIM;2021-12-09;2021;T4;T4;Avant 6h;14
NOISY-LE-SEC;87113217;JOB;2022-03-22;2022;E;E;Après 20h;1367
MAURECOURT;87381483;DIM;2023-11-19;2023;J;J6;Après 20h;20
MOUROUX;87116285;DIM;2023-11-19;2023;P;P;Après 20h;4
LYCEE-HENRI-SELLIER;87988717;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;873
NOISY-LE-SEC;87113217;JOB;2022-03-22;2022;E;E;Avant 6h;798
MAURECOURT;87381483;DIM;2023-11-19;2023;J;J6;Avant 6h;6
MOUROUX;87116285;JOB;2023-11-14;2023;P;P;De 16h à 20h;22
LYCEE-HENRI-SELLIER;87988717;JOB;2021-09-21;2021;T4;T4;De 6h à 10h;677
NOISY-LE-SEC;87113217;JOB;2022-03-22;2022;E;E;De 16h à 20h;7580
MAURECOURT;87381483;JOB;2023-11-14;2023;J;J6;Après 20h;19
MUSEE-D'ORSAY;87547307;SAM;2017-04-22;2017;C;C;De 10h à 16h;1995
MAGENTA;87281873;SAM;2022-03-19;2022;E;E;Après 20h;5373
NOTRE-DAME-DES-ANGES;87704312;SAM;2021-11-09;2021;T4;T4;De 10h à 16h;289
MAURECOURT;87381483;JOB;2023-11-14;2023;J;J6;De 16h à 20h;147
MUSEE-D'ORSAY;87547307;JOB;2017-04-25;2017;C;C;Avant 6h;20
MAGENTA;87281873;SAM;2022-03-19;2022;E;E;De 10h à 16h;10898
NOTRE-DAME-DES-ANGES;87704312;JOB;2021-09-21;2021;T4;T4;De 10h à 16h;371
MAURICE-AUDIN;87704270;JOB;2021-09-21;2021;T4;T4;Après 20h;90
NANTERRE-UNIVERSITE;87386318;JOB;2023-11-14;2023;L;L3;De 10h à 16h;2446
MAGENTA;87281873;JOB;2022-03-22;2022;E;E;De 6h à 10h;19467
ORANGIS-BOIS-DE-L'EPINE;87681346;SAM;2024-02-03;2024;D;D;Après 20h;126
MAURICE-AUDIN;87704270;JOB;2021-09-21;2021;T4;T4;De 16h à 20h;397
NANTEUIL-LE-HAUDOUIN;87271577;DIM;2023-11-19;2023;K;K;Après 20h;6
MAISONS-ALFORT-ALFORTVILLE;87681155;SAM;2024-02-03;2024;D;D;Après 20h;2008
ORANGIS-BOIS-DE-L'EPINE;87681346;DIM;2024-03-03;2024;D;D;Avant 6h;24
MEAUX;87116103;SAM;2023-09-16;2023;P;P;Après 20h;563
NANTEUIL-LE-HAUDOUIN;87271577;DIM;2023-11-19;2023;K;K;De 6h à 10h;11
MAISONS-ALFORT-ALFORTVILLE;87681155;SAM;2024-02-03;2024;D;D;Avant 6h;219
ORGERUS-BEHOUST;87393447;SAM;2023-11-18;2023;N;N;Après 20h;10
MEAUX;87116103;DIM;2023-11-19;2023;P;P;De 10h à 16h;1407
NANTEUIL-LE-HAUDOUIN;87271577;JOB;2023-11-14;2023;K;K;Avant 6h;23
MAISONS-ALFORT-ALFORTVILLE;87681155;SAM;2024-02-03;2024;D;D;De 16h à 20h;3671
ORGERUS-BEHOUST;87393447;JOB;2023-11-14;2023;N;N;Avant 6h;7
MEAUX;87116103;DIM;2023-11-19;2023;P;P;De 16h à 20h;984
NANTEUIL-SAACY;87116558;SAM;2023-09-16;2023;P;P;De 10h à 16h;194
MAISONS-ALFORT-ALFORTVILLE;87681155;JOB;2024-05-03;2024;D;D;Avant 6h;375
ORLY-VILLE;87546200;SAM;2017-04-22;2017;C;C;De 6h à 10h;445
MEAUX;87116103;JOB;2023-11-14;2023;P;P;Après 20h;242
NEMOURS-SAINT-PIERRE;87684126;DIM;2023-11-19;2023;R;R;Après 20h;88
MAISONS-ALFORT-ALFORTVILLE;87681155;JOB;2024-05-03;2024;D;D;De 10h à 16h;5427
ORLY-VILLE;87546200;DIM;2017-04-23;2017;C;C;De 16h à 20h;359
MELUN;87682005;SAM;2023-11-18;2023;R;R;De 10h à 16h;3679
NEMOURS-SAINT-PIERRE;87684126;DIM;2023-11-19;2023;R;R;De 10h à 16h;476
MAISONS-LAFFITTE;87386425;SAM;2023-11-18;2023;L;L3;Avant 6h;22
ORLY-VILLE;87546200;JOB;2017-04-25;2017;C;C;De 10h à 16h;765
MELUN;87682005;SAM;2024-02-03;2024;D;D;Avant 6h;176
NEMOURS-SAINT-PIERRE;87684126;DIM;2023-11-19;2023;R;R;De 6h à 10h;193
MAISONS-LAFFITTE;87386425;SAM;2023-11-18;2023;L;L3;De 10h à 16h;423
ORLY-VILLE;87546200;JOB;2017-04-25;2017;C;C;De 16h à 20h;565
MELUN;87682005;SAM;2024-02-03;2024;D;D;De 10h à 16h;2295
NEUILLY-PORTE-MAILLOT;87381020;SAM;2017-04-22;2017;C;C;Après 20h;746
MAISONS-LAFFITTE;87386425;DIM;2023-11-19;2023;L;L3;Après 20h;92
ORMOY-VILLERS;87271585;SAM;2023-11-18;2023;K;K;De 10h à 16h;5
MELUN;87682005;SAM;2024-02-03;2024;D;D;De 16h à 20h;1382
NEUILLY-PORTE-MAILLOT;87381020;SAM;2017-04-22;2017;C;C;De 10h à 16h;1042
MAISONS-LAFFITTE;87386425;DIM;2023-11-19;2023;L;L3;De 16h à 20h;285
ORRY-LA-VILLE-COYE;87276279;DIM;2024-03-03;2024;D;D;De 10h à 16h;148
MELUN;87682005;DIM;2024-03-03;2024;D;D;Avant 6h;79
NEUILLY-PORTE-MAILLOT;87381020;SAM;2017-04-22;2017;C;C;De 16h à 20h;1365
MAISONS-LAFFITTE;87386425;JOB;2023-11-14;2023;L;L3;De 6h à 10h;1026
ORRY-LA-VILLE-COYE;87276279;JOB;2024-05-03;2024;D;D;De 10h à 16h;117
MELUN;87682005;DIM;2024-03-03;2024;D;D;De 16h à 20h;915
NEUILLY-PORTE-MAILLOT;87381020;DIM;2017-04-23;2017;C;C;Après 20h;407
MAISSE;87681486;JOB;2024-12-03;2024;D;D;Après 20h;0
OSNY;87381145;DIM;2023-11-19;2023;J;J6;De 10h à 16h;139
MELUN;87682005;JOB;2024-05-03;2024;D;D;Avant 6h;439
NEUILLY-PORTE-MAILLOT;87381020;DIM;2017-04-23;2017;C;C;De 16h à 20h;921
MAISSE;87681486;JOB;2024-12-03;2024;D;D;De 6h à 10h;148
OZOIR-LA-FERRIERE;87116020;SAM;2022-03-19;2022;E;E;Après 20h;83
MELUN;87682005;JOB;2024-05-03;2024;D;D;De 6h à 10h;2704
NEUILLY-PORTE-MAILLOT;87381020;JOB;2017-04-25;2017;C;C;De 6h à 10h;2247
MAISSE;87681486;JOB;2024-02-04;2024;D;D;Après 20h;2
OZOIR-LA-FERRIERE;87116020;DIM;2022-03-20;2022;E;E;De 16h à 20h;339
MELUN;87682005;JOB;2024-12-03;2024;D;D;Avant 6h;38
NEUVILLE-UNIVERSITE;87334482;SAM;2022-11-19;2022;A;A;De 10h à 16h;1102
MAISSE;87681486;JOB;2024-02-04;2024;D;D;De 16h à 20h;39
PANTIN;87113209;JOB;2022-03-22;2022;E;E;De 10h à 16h;3245
MENNECY;87681411;SAM;2024-02-03;2024;D;D;De 10h à 16h;363
NEUVILLE-UNIVERSITE;87334482;SAM;2022-11-19;2022;A;A;De 6h à 10h;470
MALESHERBES;87684415;SAM;2024-02-03;2024;D;D;Après 20h;8
PANTIN;87113209;JOB;2022-03-22;2022;E;E;De 6h à 10h;3026
MENNECY;87681411;SAM;2024-02-03;2024;D;D;De 16h à 20h;147
NEUVILLE-UNIVERSITE;87334482;JOB;2022-11-22;2022;A;A;De 6h à 10h;118
MALESHERBES;87684415;SAM;2024-02-03;2024;D;D;De 16h à 20h;55
PARC-DES-EXPOSITIONS;87271486;SAM;2019-03-16;2019;B;B;De 6h à 10h;286
MENNECY;87681411;SAM;2024-02-03;2024;D;D;De 6h à 10h;170
NEUVILLE-UNIVERSITE;87334482;JOB;2022-11-30;2022;A;A;Après 20h;71
MALESHERBES;87684415;DIM;2024-03-03;2024;D;D;Après 20h;5
PARC-DES-EXPOSITIONS;87271486;DIM;2019-03-17;2019;B;B;Après 20h;10
MERIEL;87276675;DIM;2023-11-19;2023;H;H;De 10h à 16h;136
NEUVILLE-UNIVERSITE;87334482;JOB;2022-11-30;2022;A;A;Avant 6h;11
MANTES-LA-JOLIE;87381509;SAM;2023-11-18;2023;J;J6;De 16h à 20h;539
PARC-DES-EXPOSITIONS;87271486;DIM;2019-03-17;2019;B;B;De 10h à 16h;531
MERIEL;87276675;DIM;2023-11-19;2023;H;H;De 6h à 10h;47
NEUVILLE-UNIVERSITE;87334482;JOB;2022-11-30;2022;A;A;De 6h à 10h;1548
MANTES-LA-JOLIE;87381509;SAM;2023-11-18;2023;N;N;Avant 6h;14
PARC-DES-EXPOSITIONS;87271486;JOB;2023-05-10;2023;B;B;De 16h à 20h;2725
MERIEL;87276675;JOB;2023-11-14;2023;H;H;Après 20h;30
NEZEL-AULNAY;87381731;SAM;2023-11-18;2023;N;N;De 10h à 16h;36
MANTES-LA-JOLIE;87381509;SAM;2023-11-18;2023;N;N;De 16h à 20h;173
PARIS-AUSTERLITZ;87547026;SAM;2017-04-22;2017;C;C;Avant 6h;100
MERIEL;87276675;JOB;2023-11-14;2023;H;H;De 16h à 20h;116
NEZEL-AULNAY;87381731;JOB;2023-11-14;2023;N;N;De 6h à 10h;91
MANTES-LA-JOLIE;87381509;SAM;2023-11-18;2023;N;N;De 6h à 10h;149
PARIS-AUSTERLITZ;87547026;SAM;2017-04-22;2017;C;C;De 16h à 20h;4655
MERY-SUR-OISE;87276667;SAM;2023-11-18;2023;H;H;Après 20h;48
NOGENT-L'ARTAUD-CHARLY;87116566;SAM;2023-09-16;2023;P;P;Après 20h;20
MANTES-LA-JOLIE;87381509;DIM;2023-11-19;2023;J;J6;De 10h à 16h;611
PARIS-EST;87113001;SAM;2023-09-16;2023;P;P;Avant 6h;35
MERY-SUR-OISE;87276667;DIM;2023-11-19;2023;H;H;Après 20h;34
NOGENT-L'ARTAUD-CHARLY;87116566;DIM;2023-09-17;2023;P;P;Après 20h;20
MANTES-LA-JOLIE;87381509;DIM;2023-11-19;2023;N;N;Après 20h;55
PARIS-EST;87113001;SAM;2023-11-18;2023;P;P;De 6h à 10h;1895
MERY-SUR-OISE;87276667;JOB;2023-11-14;2023;H;H;Avant 6h;56
NOGENT-L'ARTAUD-CHARLY;87116566;DIM;2023-09-17;2023;P;P;De 6h à 10h;36
MANTES-LA-JOLIE;87381509;JOB;2021-07-12;2021;J;J5;De 10h à 16h;802
PARIS-EST;87113001;DIM;2023-09-17;2023;P;P;Après 20h;752
MERY-SUR-OISE;87276667;JOB;2023-11-14;2023;H;H;De 10h à 16h;229
NOGENT-LE-PERREUX;87113746;DIM;2022-03-20;2022;E;E;De 10h à 16h;971
MANTES-LA-JOLIE;87381509;JOB;2021-07-12;2021;J;J5;De 16h à 20h;958
PARIS-EST;87113001;DIM;2023-09-17;2023;P;P;De 6h à 10h;396
MERY-SUR-OISE;87276667;JOB;2023-11-14;2023;H;H;De 6h à 10h;643
NOGENT-LE-PERREUX;87113746;DIM;2022-03-20;2022;E;E;De 6h à 10h;263
